가드통과,examId,학교,학년,과목,회차,문항수,총점,객관식,단답형,서술형,배점채움,소단원라벨문항,난이도라벨문항,시리즈,시리즈_대비편수,시리즈_실제기출편수,실제기출없음,원본경로
Y,4257,경원고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,경원고|고1,1,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경원고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4260,경일여고,고1,공통수학2,2025-2중간,25,99,21,0,4,0,21,21,경일여고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경일여고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4263,경화여고,고1,공통수학2,2025-2중간,25,99,21,0,4,1,25,25,경화여고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[경화여고][1][공수2][25-2-중간대비][천재류] (완료).PDF
Y,4266,계성고,고1,공통수학1,2025-1기말,25,100,19,0,6,0,25,25,계성고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[계성고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4267,계성고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,계성고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[계성고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4276,구암고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,구암고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[구암고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4275,구암고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,구암고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[구암고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4282,남산고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,남산고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[남산고][1][공수1][25-1-기말고사 대비][미래엔] (완료).PDF
Y,4284,남산고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,남산고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[남산고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4283,남산고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,남산고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[남산고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4286,능인고,고1,공통수학1,2025-1기말,25,96,20,0,5,1,25,25,능인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[능인고][1][공수1][25-1-기말고사 대비][비상] (완료).PDF
Y,4288,능인고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,능인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[능인고][1][공수2][25-2-중간대비][신사고](완료).PDF
Y,4287,능인고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,능인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[능인고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4290,다사고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,다사고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[다사고][1][공수1][25-1-기말대비][비상] (완료).PDF
Y,4291,다사고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,다사고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[다사고][1][공수2][25-2-중간대비][신사고] (완료).PDF
Y,4294,달서고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,달서고|고1,1,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[달서고][1][공수1][25-1-기말대비][동아] (완료).PDF
Y,4297,달성고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,달성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[달성고][1][공수1][25-1-기말고사대비][미래엔] (완료).PDF
Y,4299,달성고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,달성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[달성고][1][공수2][25-2-중간대비][천재류] (완료).PDF
Y,4298,달성고,고1,공통수학2,2025-2기말,24,100,18,0,6,0,24,24,달성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[달성고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4300,대건고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,대건고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[대건고][1][공수1][25-1-기말고사대비][비상] (완료).PDF
Y,4302,대건고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대건고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대건고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4301,대건고,고1,공통수학2,2025-2기말,24,98,20,0,4,0,20,20,대건고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대건고][1][공수2][25-2-기말대비][금성] (완료).PDF
Y,4305,대곡고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,24,대곡고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[대곡고][1][공수1][25-1-기말고사대비][미래엔] (완료).PDF
Y,4307,대곡고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대곡고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대곡고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4306,대곡고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,대곡고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대곡고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4309,대구고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대구고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대구고][1][공수2][25-2-중간대비][동아] (완료).PDF
Y,2729,대구여고,고1,공통수학1,2024-1기말,25,99,21,0,4,0,25,25,대구여고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[대구여고][1][공수1][24-1-기말대비][비상] (완료).PDF
Y,4316,대구여고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대구여고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대구여고][1][공수2][25-2-중간대비][지학사] (완료).PDF
Y,4315,대구여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,대구여고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대구여고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4320,대구외고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대구외고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대구외고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4319,대구외고,고1,공통수학2,2025-2기말,25,100,21,0,4,0,25,25,대구외고|고1,2,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대구외고][1][공수2][25-2-기말대비][신사고] (완료).PDF
Y,4321,대륜고,고1,공통수학1,2025-1기말,24,100,20,0,4,0,24,24,대륜고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[대륜고][1][공수1][25-1 기말고사 대비][미래엔] (완료).PDF
Y,4323,대륜고,고1,공통수학2,2025-2중간,25,101,18,0,7,0,25,25,대륜고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대륜고][1][공수2][25-2-중간대비][미래엔](완료).PDF
Y,4322,대륜고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,대륜고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대륜고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4329,대원고,고1,공통수학1,2025-1기말,25,100,21,0,4,0,25,25,대원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[대원고][1][공수1][25-1-기말대비][와이비엠(류)] (완료).PDF
Y,4331,대원고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,대원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대원고][1][공수2][25-2-중간대비][신사고] (완료).PDF
Y,4330,대원고,고1,공통수학2,2025-2기말,24,100.1,20,0,4,0,24,24,대원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[대원고][1][공수2][25-2-기말대비][신사고] (완료).PDF
Y,4334,대진고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,24,24,대진고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[대진고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4338,덕원고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,덕원고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[덕원고][1][공수2][25-2-중간대비][와이비엠] (완료).PDF
Y,4337,덕원고,고1,공통수학2,2025-2기말,24,104,20,0,4,0,23,24,덕원고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[덕원고][1][공수2][25-2-기말대비][신사고] (완료).PDF
Y,4341,도원고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,도원고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[도원고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4344,동문고,고1,공통수학1,2025-1기말,25,99,20,0,5,1,25,25,동문고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[동문고][1][공수1][25-1-기말대비][미래엔](완료).PDF
Y,4346,동문고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,동문고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[동문고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4345,동문고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,동문고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[동문고][1][공수2][25-2-기말대비][천재홍] (완료).PDF
Y,4348,동부고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,동부고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[동부고][1][공수2][25-2-중간대비][비상](완료).PDF
Y,4354,매천고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,매천고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[매천고][1][공수1][25-1-기말대비][동아고](완료).PDF
Y,4355,매천고,고1,공통수학2,2025-2중간,25,100,21,1,3,0,25,25,매천고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[매천고][1][공수2][25-2-중간대비][천재홍] (완료).PDF
Y,4361,문명고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,문명고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[문명고][1][공수1][25-1-기말대비][와이비엠(류)] (완료).PDF
Y,4362,문명고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,문명고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[문명고][1][공수2][25-2-중간대비][천재류] (완료).PDF
Y,4370,비슬고,고1,공통수학2,2025-2중간,25,100,20,1,4,0,20,20,비슬고|고1,1,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[비슬고][1][공수2][25-2 중간대비][신사고] (완료).PDF
Y,4371,사대부고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,사대부고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[사대부고][1][공수1][25-1-기말대비][비상] (완료).PDF
Y,4373,사대부고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,사대부고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[사대부고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4376,사동고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,사동고|고1,1,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[사동고][1][공수2][25-2-중간대비][동아] (완료).PDF
Y,4382,상원고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,상원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[상원고][1][공수1][25-1-기말고사 대비][미래엔] (완료).PDF
Y,4384,상원고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,상원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[상원고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4383,상원고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,상원고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[상원고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4388,상인고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,상인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[상인고][1][공수1][25-1-기말고사 대비][비상] (완료).PDF
Y,4390,상인고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,상인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[상인고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4389,상인고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,상인고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[상인고][1][공수2][25-2-기말대비][미래엔] (완료).PDF
Y,4405,성산고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,성산고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[성산고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4410,성화여고,고1,공통수학1,2025-1기말,25,98.6,20,0,5,3,24,24,성화여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[성화여고][1][공수1][25-1-기말대비][와이비엠(류)] (완료).PDF
Y,4411,성화여고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,성화여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[성화여고][1][공수2][25-2-중간대비][와이비엠(류)] (완료).PDF
Y,4417,송현여고,고1,공통수학1,2025-1기말,25,100,17,0,8,0,25,25,송현여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[송현여고][1][공수1][25-1-기말대비][비상] (완료).PDF
Y,4418,송현여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,송현여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[송현여고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4423,수성고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,수성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[수성고][1][공수1][25-1-기말대비][동아(고)] (완료).PDF
Y,4425,수성고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,수성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[수성고][1][공수2][25-2-중간대비](비상) (완료).PDF
Y,4424,수성고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,23,수성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[수성고][1][공수2][25-2-기말대비][비상] (완료).PDF
Y,4432,시지고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,시지고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[시지고][1][공수1][25-1-기말고사대비][미래엔] (완료).PDF
Y,4433,시지고,고1,공통수학2,2025-2중간,25,101.7,21,0,4,1,25,25,시지고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[시지고][1][공수2][25-2-중간대비][동아강] (완료).PDF
Y,4436,신명고,고1,공통수학1,2025-1기말,25,100,20,0,5,0,25,25,신명고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[신명고][1][공수1][25-1-기말대비][지학사] (완료).PDF
Y,4438,신명고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,신명고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[신명고][1][공수2][25-2-중간대비][지학사] (완료).PDF
Y,4437,신명고,고1,공통수학2,2025-2기말,24,99,20,0,4,0,24,24,신명고|고1,3,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[신명고][1][공수2][25-2-기말대비][지학사] (완료).PDF
Y,4441,심인고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,심인고|고1,1,5,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[심인고][1][공수2][25-2-중간대비][천재전] (완료).PDF
Y,4447,영남고,고1,공통수학1,2025-1기말,25,103,20,0,5,0,25,25,영남고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[영남고][1][공수1][25-1-기말고사 대비][비상] (완료).PDF
Y,4449,영남고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,영남고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[영남고][1][공수2][25-2-중간대비][비상] (완료).PDF
Y,4453,영송여고,고1,공통수학2,2025-2중간,25,101,21,0,4,1,25,25,영송여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[영송여고][1][공수2][25-2-중간대비][신사고] (완료).PDF
Y,4452,영송여고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,영송여고|고1,2,2,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[영송여고][1][공수2][25-2-기말대비][동아] (완료).PDF
Y,4455,영신고,고1,공통수학1,2025-1기말,25,97,20,0,5,0,25,25,영신고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[영신고][1][공수1][25-1-기말대비][미래엔] (완료).PDF
Y,4456,영신고,고1,공통수학2,2025-2기말,24,100,20,0,4,1,24,24,영신고|고1,2,0,🔴 없음,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[영신고][1][공수2][25-2-기말대비][천재홍] (완료).PDF
Y,2839,오성고,고1,공통수학2,2024-2중간,24,100,20,0,4,0,24,24,오성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[오성고][1][공수2][24-2-중간대비][와이비엠] (완료).PDF
Y,4464,오성고,고1,공통수학1,2025-1기말,25,99,18,0,7,0,25,25,오성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[오성고][1][공수1][25-1-기말대비][와이비엠(류)] (완료).PDF
Y,4465,오성고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,오성고|고1,3,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[오성고][1][공수2][25-2-기말대비][와이비엠] (완료).PDF
Y,4473,운암고,고1,공통수학2,2025-2중간,25,99.8,18,0,7,2,25,25,운암고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[운암고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4480,이서고,고1,공통수학2,2025-2중간,25,100,21,0,4,0,25,25,이서고|고1,1,1,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[이서고][1][공수2][25-2-중간대비][미래엔] (완료).PDF
Y,4487,정동고,고1,공통수학2,2025-2중간,25,100,20,0,5,0,25,25,정동고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 중간\고1\[정동고][1][공수2][25-2-중간대비][와이비엠] (완료).PDF
Y,4486,정동고,고1,공통수학2,2025-2기말,24,100,20,0,4,0,24,24,정동고|고1,2,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\2학기 기말\공수2\[정동고][1][공수2][25-2-기말대비][와이비엠] (완료).PDF
Y,2862,정화여고,고1,공통수학1,2024-1기말,25,100,17,0,8,0,25,25,정화여고|고1,3,3,,N:\개인\기출\HWP 2 PDF\기출\24 기출\1학기 기말\고1\[정화여고][1][공수1][24-1-기말대비][와이비엠] (완료).PDF
