# SVG 검수 판정 집계 — scripts/qa/collect-svg-verdicts.mjs 가 만든다. 손으로 고치지 말 것.
# 판정 원본: C:\Users\user\AppData\Local\Temp\claude\C--Creative-testautocreator\514755a6-ad9e-4e2a-882d-210afa7581c6\scratchpad\codex검수 (세션 임시 폴더 — 지워질 수 있다. 이 파일이 사본이다)
# sheet	judge	pair	verdict	note
0004	antigravity	1362	OK	
0004	codex-1	0248	OK	
0004	codex-1	0297	OK	
0004	codex-1	0345	OK	
0004	codex-1	0652	OK	
0004	codex-1	0894	OK	
0004	codex-1	1362	OK	
0004	gemini	0248	OK	
0004	gemini	0297	OK	
0004	gemini	0345	OK	
0004	gemini	0652	OK	
0004	gemini	0894	OK	
0004	gemini	1362	OK	
0005	antigravity	0305	OK	
0005	antigravity	0440	OK	
0005	antigravity	0614	OK	
0005	antigravity	0662	OK	
0005	antigravity	1158	OK	
0005	antigravity	1251	OK	
0005	codex-1	0305	OK	
0005	codex-1	0440	OK	
0005	codex-1	0614	OK	
0005	codex-1	0662	OK	
0005	codex-1	1158	OK	
0005	codex-1	1251	OK	
0005	gemini	0305	OK	
0005	gemini	0440	결함	17cm, 8cm를 나타내는 점선 호 양 끝의 화살표 머리가 빠짐
0005	gemini	0614	OK	
0005	gemini	0662	OK	
0005	gemini	1158	OK	
0005	gemini	1251	OK	
0006	antigravity	0117	OK	
0006	antigravity	0494	OK	
0006	antigravity	0587	OK	
0006	antigravity	1097	결함	마지막 줄의 '법으로'가 '겁으로'로 글자 변조됨
0006	antigravity	1278	OK	
0006	antigravity	1334	결함	이차함수 그래프의 꼭짓점이 x축 아래에서 x축 위로 잘못 그려짐
0006	codex-1	0117	OK	
0006	codex-1	0494	OK	
0006	codex-1	0587	OK	
0006	codex-1	1097	OK	
0006	codex-1	1278	OK	
0006	codex-1	1334	OK	
0006	gemini	0117	OK	
0006	gemini	0494	OK	
0006	gemini	0587	OK	
0006	gemini	1097	결함	글자가 깨졌다 ('법으로'가 '컵으로'로 바뀜)
0006	gemini	1278	OK	
0006	gemini	1334	OK	
0007	antigravity	0182	OK	
0007	antigravity	0284	OK	
0007	antigravity	0497	OK	
0007	antigravity	0674	OK	
0007	antigravity	0818	OK	
0007	antigravity	1113	OK	
0007	codex-1	0182	OK	
0007	codex-1	0284	OK	
0007	codex-1	0497	OK	
0007	codex-1	0674	OK	
0007	codex-1	0818	OK	
0007	codex-1	1113	OK	
0007	gemini	0182	OK	
0007	gemini	0284	OK	
0007	gemini	0497	OK	
0007	gemini	0674	OK	
0007	gemini	0818	OK	
0007	gemini	1113	OK	
0008	agy-o	0122	OK	
0008	agy-o	0485	결함	SVG에서 좌표축 끝의 화살표가 빠지고, 위쪽으로 뻗는 선(왼쪽 빗금 선)이 잘렸다
0008	agy-o	0502	결함	래스터에는 왼쪽 수평선이 왼쪽으로 길게 뻗어 있으나 SVG에서는 왼쪽 수평선이 잘려 빠졌다
0008	agy-o	0623	OK	
0008	agy-o	0849	OK	
0008	agy-o	0991	OK	
0008	codex-1	0122	OK	
0008	codex-1	0485	결함	좌표축의 x 이름과 오른쪽 화살표가 빠졌고, y 이름과 위쪽 화살표가 잘렸다
0008	codex-1	0502	OK	
0008	codex-1	0623	OK	
0008	codex-1	0849	OK	
0008	codex-1	0991	OK	
0008	codex-2	0122	OK	
0008	codex-2	0485	결함	래스터에는 x축 오른쪽 끝의 화살촉과 x 표기가 있는데 SVG에는 없다
0008	codex-2	0502	OK	
0008	codex-2	0623	OK	
0008	codex-2	0849	OK	
0008	codex-2	0991	OK	
0008	gemini	0122	OK	
0008	gemini	0485	결함	좌표축의 x·y 이름과 화살표가 잘렸다
0008	gemini	0502	OK	
0008	gemini	0623	OK	
0008	gemini	0849	OK	
0008	gemini	0991	OK	
0009	antigravity	0613	OK	
0009	antigravity	0670	OK	
0009	antigravity	0718	OK	
0009	antigravity	0835	OK	
0009	antigravity	1120	OK	
0009	antigravity	1445	OK	
0009	codex-1	0613	OK	
0009	codex-1	0670	OK	
0009	codex-1	0718	OK	
0009	codex-1	0835	OK	
0009	codex-1	1120	OK	
0009	codex-1	1445	OK	
0009	gemini	0613	OK	
0009	gemini	0670	OK	
0009	gemini	0718	OK	
0009	gemini	0835	OK	
0009	gemini	1120	OK	
0009	gemini	1445	OK	
0010	codex-1	0351	OK	
0010	codex-1	0558	OK	
0010	codex-1	0590	OK	
0010	codex-1	0700	OK	
0010	codex-1	1068	OK	
0010	codex-1	1520	OK	
0010	gemini	0351	OK	
0010	gemini	0558	OK	
0010	gemini	0590	OK	
0010	gemini	0700	OK	
0010	gemini	1068	결함	두 번째 줄 끝의 글자가 깨졌다
0010	gemini	1520	OK	
0011	antigravity	0053	OK	
0011	antigravity	0229	OK	
0011	antigravity	0881	OK	
0011	antigravity	1253	OK	
0011	antigravity	1375	OK	
0011	antigravity	1529	OK	
0011	codex-1	0053	OK	
0011	codex-1	0229	OK	
0011	codex-1	0881	OK	
0011	codex-1	1253	OK	
0011	codex-1	1375	OK	
0011	codex-1	1529	OK	
0011	gemini	0053	OK	
0011	gemini	0229	OK	
0011	gemini	0881	OK	
0011	gemini	1253	OK	
0011	gemini	1375	OK	
0011	gemini	1529	OK	
0012	antigravity	0638	OK	
0012	antigravity	0791	OK	
0012	antigravity	0865	OK	
0012	antigravity	0982	OK	
0012	antigravity	1033	OK	
0012	antigravity	1293	OK	
0012	codex-1	0638	OK	
0012	codex-1	0791	OK	
0012	codex-1	0865	OK	
0012	codex-1	0982	OK	
0012	codex-1	1033	OK	
0012	codex-1	1293	OK	
0012	gemini	0638	OK	
0012	gemini	0791	결함	히스토그램 막대의 회색 칠이 빠졌다
0012	gemini	0865	OK	
0012	gemini	0982	결함	삼각형의 흰색 칠이 빠졌다
0012	gemini	1033	OK	
0012	gemini	1293	OK	
0013	antigravity	0007	OK	
0013	antigravity	0156	OK	
0013	antigravity	0167	OK	
0013	antigravity	0584	OK	
0013	antigravity	1020	OK	
0013	antigravity	1130	OK	
0013	codex-1	0007	OK	
0013	codex-1	0156	OK	
0013	codex-1	0167	OK	
0013	codex-1	0584	OK	
0013	codex-1	1020	OK	
0013	codex-1	1130	OK	
0013	gemini	0007	OK	
0013	gemini	0156	OK	
0013	gemini	0167	결함	열기구 바구니가 검은 덩어리로 뭉개짐
0013	gemini	0584	OK	
0013	gemini	1020	OK	
0013	gemini	1130	OK	
0014	antigravity	0326	결함	점 D에 래스터에 없는 직각 기호가 추가됨
0014	antigravity	0334	OK	
0014	antigravity	0396	OK	
0014	antigravity	0777	OK	
0014	antigravity	0924	OK	
0014	antigravity	1569	결함	점 A와 B 사이의 위쪽 곡선 누락
0014	codex-1	0326	OK	
0014	codex-1	0334	OK	
0014	codex-1	0396	OK	
0014	codex-1	0777	OK	
0014	codex-1	0924	OK	
0014	codex-1	1569	OK	
0014	gemini	0326	OK	
0014	gemini	0334	OK	
0014	gemini	0396	OK	
0014	gemini	0777	OK	
0014	gemini	0924	OK	
0014	gemini	1569	OK	
0015	antigravity	0115	OK	
0015	antigravity	0355	OK	
0015	antigravity	0453	OK	
0015	antigravity	0585	OK	
0015	antigravity	1078	OK	
0015	antigravity	1319	OK	
0015	codex-1	0115	OK	
0015	codex-1	0355	OK	
0015	codex-1	0453	OK	
0015	codex-1	0585	OK	
0015	codex-1	1078	OK	
0015	codex-1	1319	OK	
0015	gemini	0115	OK	
0015	gemini	0355	OK	
0015	gemini	0453	OK	
0015	gemini	0585	결함	첫 번째 줄 '(반지름)'의 닫는 괄호가 잘렸다
0015	gemini	1078	OK	
0015	gemini	1319	OK	
0016	antigravity	0075	OK	
0016	antigravity	0296	OK	
0016	antigravity	0582	OK	
0016	antigravity	0655	OK	
0016	antigravity	1265	OK	
0016	antigravity	1416	OK	
0016	codex-1	0075	OK	
0016	codex-1	0296	OK	
0016	codex-1	0582	OK	
0016	codex-1	0655	OK	
0016	codex-1	1265	OK	
0016	codex-1	1416	OK	
0016	gemini	0075	OK	
0016	gemini	0296	OK	
0016	gemini	0582	OK	
0016	gemini	0655	OK	
0016	gemini	1265	OK	
0016	gemini	1416	OK	
0017	antigravity	0436	OK	
0017	antigravity	0570	OK	
0017	antigravity	0571	OK	
0017	antigravity	1004	OK	
0017	antigravity	1231	OK	
0017	antigravity	1458	OK	
0017	codex-1	0436	OK	
0017	codex-1	0570	OK	
0017	codex-1	0571	OK	
0017	codex-1	1004	OK	
0017	codex-1	1231	OK	
0017	codex-1	1458	OK	
0017	gemini	0436	OK	
0017	gemini	0570	OK	
0017	gemini	0571	OK	
0017	gemini	1004	OK	
0017	gemini	1231	OK	
0017	gemini	1458	OK	
0018	antigravity	0132	OK	
0018	antigravity	0213	OK	
0018	antigravity	0424	OK	
0018	antigravity	0441	OK	
0018	antigravity	1460	OK	
0018	antigravity	1476	OK	
0018	codex-1	0132	OK	
0018	codex-1	0213	OK	
0018	codex-1	0424	OK	
0018	codex-1	0441	OK	
0018	codex-1	1460	OK	
0018	codex-1	1476	OK	
0018	gemini	0132	결함	밑면의 테두리 실선이 빠졌다
0018	gemini	0213	OK	
0018	gemini	0424	OK	
0018	gemini	0441	OK	
0018	gemini	1460	OK	
0018	gemini	1476	OK	
0019	antigravity	0350	OK	
0019	antigravity	0557	OK	
0019	antigravity	0592	OK	
0019	antigravity	0668	OK	
0019	antigravity	1166	OK	
0019	antigravity	1496	OK	
0019	codex-1	0350	OK	
0019	codex-1	0557	OK	
0019	codex-1	0592	OK	
0019	codex-1	0668	OK	
0019	codex-1	1166	OK	
0019	codex-1	1496	OK	
0019	gemini	0350	OK	
0019	gemini	0557	OK	
0019	gemini	0592	OK	
0019	gemini	0668	결함	치수를 나타내는 점선들(26cm, 30cm, 10cm)의 한쪽 화살표 머리가 각각 빠짐
0019	gemini	1166	OK	
0019	gemini	1496	OK	
0020	antigravity	0255	OK	
0020	antigravity	0906	OK	
0020	antigravity	0980	OK	
0020	antigravity	1122	결함	원 위의 점 위치가 좌상단에서 우상단으로 잘못 배치됨
0020	antigravity	1201	OK	
0020	antigravity	1446	OK	
0020	codex-1	0255	OK	
0020	codex-1	0906	OK	
0020	codex-1	0980	OK	
0020	codex-1	1122	OK	
0020	codex-1	1201	OK	
0020	codex-1	1446	OK	
0020	gemini	0255	OK	
0020	gemini	0906	OK	
0020	gemini	0980	OK	
0020	gemini	1122	OK	
0020	gemini	1201	OK	
0020	gemini	1446	OK	
0021	antigravity	0104	OK	
0021	antigravity	0242	OK	
0021	antigravity	0314	OK	
0021	antigravity	1085	OK	
0021	antigravity	1532	OK	
0021	antigravity	1546	OK	
0021	codex-1	0104	OK	
0021	codex-1	0242	OK	
0021	codex-1	0314	OK	
0021	codex-1	1085	OK	
0021	codex-1	1532	OK	
0021	codex-1	1546	OK	
0021	gemini	0104	OK	
0021	gemini	0242	OK	
0021	gemini	0314	OK	
0021	gemini	1085	OK	
0021	gemini	1532	OK	
0021	gemini	1546	OK	
0022	antigravity	0073	OK	
0022	antigravity	0210	OK	
0022	antigravity	0737	OK	
0022	antigravity	0750	OK	
0022	antigravity	0994	OK	
0022	antigravity	1506	OK	
0022	codex-1	0073	OK	
0022	codex-1	0210	OK	
0022	codex-1	0737	OK	
0022	codex-1	0750	OK	
0022	codex-1	0994	OK	
0022	codex-1	1506	OK	
0022	gemini	0073	OK	
0022	gemini	0210	OK	
0022	gemini	0737	OK	
0022	gemini	0750	OK	
0022	gemini	0994	OK	
0022	gemini	1506	OK	
0023	antigravity	0338	OK	
0023	antigravity	0816	OK	
0023	antigravity	0828	OK	
0023	antigravity	0948	OK	
0023	antigravity	1190	OK	
0023	antigravity	1558	OK	
0023	codex-1	0338	OK	
0023	codex-1	0816	OK	
0023	codex-1	0828	OK	
0023	codex-1	0948	OK	
0023	codex-1	1190	OK	
0023	codex-1	1558	OK	
0023	gemini	0338	결함	두 번째 줄 수식의 여는 괄호 '(' 가 빠졌다
0023	gemini	0816	OK	
0023	gemini	0828	OK	
0023	gemini	0948	OK	
0023	gemini	1190	OK	
0023	gemini	1558	OK	
0024	antigravity	0212	OK	
0024	antigravity	0394	OK	
0024	antigravity	1108	OK	
0024	antigravity	1422	OK	
0024	antigravity	1436	OK	
0024	antigravity	1518	OK	
0024	codex-1	0212	OK	
0024	codex-1	0394	OK	
0024	codex-1	1108	OK	
0024	codex-1	1422	OK	
0024	codex-1	1436	OK	
0024	codex-1	1518	OK	
0024	gemini	0212	OK	
0024	gemini	0394	OK	
0024	gemini	1108	OK	
0024	gemini	1422	OK	
0024	gemini	1436	OK	
0024	gemini	1518	OK	
0025	agy-o	0451	OK	
0025	agy-o	0510	OK	
0025	agy-o	0995	OK	
0025	agy-o	1103	OK	
0025	agy-o	1295	OK	
0025	agy-o	1382	OK	
0025	codex-1	0451	OK	
0025	codex-1	0510	결함	사람 삽화가 검은 덩어리로 뭉개졌다
0025	codex-1	0995	OK	
0025	codex-1	1103	OK	
0025	codex-1	1295	OK	
0025	codex-1	1382	OK	
0025	codex-2	0451	OK	
0025	codex-2	0510	결함	래스터에는 사람의 얼굴·머리·옷 등 내부 묘사가 있는데 SVG에는 없다
0025	codex-2	0995	OK	
0025	codex-2	1103	OK	
0025	codex-2	1295	OK	
0025	codex-2	1382	OK	
0025	gemini	0451	OK	
0025	gemini	0510	결함	삽화가 검은 덩어리로 뭉갰다
0025	gemini	0995	OK	
0025	gemini	1103	OK	
0025	gemini	1295	OK	
0025	gemini	1382	OK	
0026	antigravity	0010	OK	
0026	antigravity	0044	OK	
0026	antigravity	0171	OK	
0026	antigravity	0895	OK	
0026	antigravity	1286	OK	
0026	antigravity	1365	OK	
0026	codex-1	0010	OK	
0026	codex-1	0044	OK	
0026	codex-1	0171	OK	
0026	codex-1	0895	OK	
0026	codex-1	1286	OK	
0026	codex-1	1365	OK	
0026	gemini	0010	결함	표의 마지막 줄(54° 행) 배경색 칠이 빠졌다
0026	gemini	0044	OK	
0026	gemini	0171	OK	
0026	gemini	0895	OK	
0026	gemini	1286	OK	
0026	gemini	1365	OK	
0027	antigravity	0006	OK	
0027	antigravity	0084	OK	
0027	antigravity	0245	OK	
0027	antigravity	0482	OK	
0027	antigravity	0503	OK	
0027	antigravity	0743	OK	
0027	codex-1	0006	OK	
0027	codex-1	0084	OK	
0027	codex-1	0245	OK	
0027	codex-1	0482	OK	
0027	codex-1	0503	OK	
0027	codex-1	0743	OK	
0027	gemini	0006	OK	
0027	gemini	0084	OK	
0027	gemini	0245	OK	
0027	gemini	0482	OK	
0027	gemini	0503	OK	
0027	gemini	0743	OK	
0028	antigravity	0265	OK	
0028	antigravity	0340	OK	
0028	antigravity	0474	OK	
0028	antigravity	0667	결함	각 B에 래스터에 없는 각도 호가 추가됨
0028	antigravity	0676	OK	
0028	antigravity	0814	OK	
0028	codex-1	0265	OK	
0028	codex-1	0340	OK	
0028	codex-1	0474	OK	
0028	codex-1	0667	OK	
0028	codex-1	0676	OK	
0028	codex-1	0814	OK	
0028	gemini	0265	OK	
0028	gemini	0340	결함	성냥개비의 칠(빨간 머리와 나무색)이 빠졌다
0028	gemini	0474	OK	
0028	gemini	0667	OK	
0028	gemini	0676	OK	
0028	gemini	0814	OK	
0029	antigravity	0280	OK	
0029	antigravity	0372	OK	
0029	antigravity	0792	OK	
0029	antigravity	1211	OK	
0029	antigravity	1398	OK	
0029	antigravity	1420	OK	
0029	codex-1	0280	OK	
0029	codex-1	0372	OK	
0029	codex-1	0792	OK	
0029	codex-1	1211	OK	
0029	codex-1	1398	OK	
0029	codex-1	1420	OK	
0029	gemini	0280	OK	
0029	gemini	0372	OK	
0029	gemini	0792	결함	선분 OB가 빠졌다
0029	gemini	1211	OK	
0029	gemini	1398	OK	
0029	gemini	1420	OK	
0030	codex-1	0389	OK	
0030	codex-1	0417	OK	
0030	codex-1	0459	OK	
0030	codex-1	1400	OK	
0030	codex-1	1554	OK	
0030	codex-1	1576	OK	
0030	gemini	0389	OK	
0030	gemini	0417	OK	
0030	gemini	0459	OK	
0030	gemini	1400	OK	
0030	gemini	1554	결함	변 AB가 이등분되었음을 나타내는 기호(짧은 선분 1개씩)가 빠졌다
0030	gemini	1576	OK	
0031	antigravity	0093	OK	
0031	antigravity	0098	OK	
0031	antigravity	0336	OK	
0031	antigravity	0552	OK	
0031	antigravity	1050	OK	
0031	antigravity	1454	OK	
0031	codex-1	0093	OK	
0031	codex-1	0098	OK	
0031	codex-1	0336	OK	
0031	codex-1	0552	OK	
0031	codex-1	1050	OK	
0031	codex-1	1454	OK	
0031	gemini	0093	OK	
0031	gemini	0098	OK	
0031	gemini	0336	OK	
0031	gemini	0552	OK	
0031	gemini	1050	OK	
0031	gemini	1454	결함	보기 박스의 왼쪽과 아래쪽 테두리 선이 빠졌다
0032	antigravity	0080	OK	
0032	antigravity	0333	OK	
0032	antigravity	0657	OK	
0032	antigravity	1002	OK	
0032	antigravity	1088	OK	
0032	antigravity	1465	OK	
0032	codex-1	0080	OK	
0032	codex-1	0333	OK	
0032	codex-1	0657	OK	
0032	codex-1	1002	OK	
0032	codex-1	1088	OK	
0032	codex-1	1465	OK	
0032	gemini	0080	OK	
0032	gemini	0333	OK	
0032	gemini	0657	OK	
0032	gemini	1002	OK	
0032	gemini	1088	OK	
0032	gemini	1465	OK	
0033	antigravity	0295	OK	
0033	antigravity	0450	OK	
0033	antigravity	1154	OK	
0033	antigravity	1385	OK	
0033	antigravity	1516	OK	
0033	antigravity	1536	OK	
0033	codex-1	0295	OK	
0033	codex-1	0450	OK	
0033	codex-1	1154	OK	
0033	codex-1	1385	OK	
0033	codex-1	1516	OK	
0033	codex-1	1536	OK	
0033	gemini	0295	OK	
0033	gemini	0450	OK	
0033	gemini	1154	OK	
0033	gemini	1385	OK	
0033	gemini	1516	OK	
0033	gemini	1536	OK	
0034	antigravity	0361	OK	
0034	antigravity	0406	OK	
0034	antigravity	0531	OK	
0034	antigravity	0573	OK	
0034	antigravity	0944	OK	
0034	antigravity	1023	OK	
0034	codex-1	0361	OK	
0034	codex-1	0406	OK	
0034	codex-1	0531	OK	
0034	codex-1	0573	OK	
0034	codex-1	0944	OK	
0034	codex-1	1023	OK	
0034	gemini	0361	OK	
0034	gemini	0406	OK	
0034	gemini	0531	OK	
0034	gemini	0573	결함	점선 양끝의 화살표 머리가 빠졌다
0034	gemini	0944	OK	
0034	gemini	1023	OK	
0035	antigravity	0471	OK	
0035	antigravity	0532	OK	
0035	antigravity	0611	OK	
0035	antigravity	0733	OK	
0035	antigravity	1207	OK	
0035	antigravity	1322	OK	
0035	codex-1	0471	OK	
0035	codex-1	0532	OK	
0035	codex-1	0611	OK	
0035	codex-1	0733	OK	
0035	codex-1	1207	OK	
0035	codex-1	1322	OK	
0035	gemini	0471	OK	
0035	gemini	0532	결함	점 O에 찍힌 점이 빠졌다.
0035	gemini	0611	OK	
0035	gemini	0733	OK	
0035	gemini	1207	OK	
0035	gemini	1322	OK	
0036	antigravity	0845	OK	
0036	antigravity	0969	OK	
0036	antigravity	1049	OK	
0036	antigravity	1117	OK	
0036	antigravity	1378	OK	
0036	antigravity	1549	OK	
0036	codex-1	0845	OK	
0036	codex-1	0969	OK	
0036	codex-1	1049	OK	
0036	codex-1	1117	OK	
0036	codex-1	1378	OK	
0036	codex-1	1549	OK	
0036	gemini	0845	OK	
0036	gemini	0969	OK	
0036	gemini	1049	OK	
0036	gemini	1117	OK	
0036	gemini	1378	결함	표의 첫 행과 첫 열에 칠(채움)이 빠졌다
0036	gemini	1549	결함	오른쪽 위 작은 정사각형에 칠(채움)이 빠졌다
0037	antigravity	0019	OK	
0037	antigravity	0024	OK	
0037	antigravity	0094	OK	
0037	antigravity	0832	OK	
0037	antigravity	1131	OK	
0037	antigravity	1491	OK	
0037	codex-1	0019	OK	
0037	codex-1	0024	OK	
0037	codex-1	0094	OK	
0037	codex-1	0832	OK	
0037	codex-1	1131	OK	
0037	codex-1	1491	OK	
0037	gemini	0019	OK	
0037	gemini	0024	OK	
0037	gemini	0094	OK	
0037	gemini	0832	OK	
0037	gemini	1131	OK	
0037	gemini	1491	OK	
0038	antigravity	0383	OK	
0038	antigravity	0589	OK	
0038	antigravity	0604	OK	
0038	antigravity	0699	OK	
0038	antigravity	0856	OK	
0038	antigravity	0917	OK	
0038	codex-1	0383	OK	
0038	codex-1	0589	OK	
0038	codex-1	0604	OK	
0038	codex-1	0699	OK	
0038	codex-1	0856	OK	
0038	codex-1	0917	OK	
0038	gemini	0383	OK	
0038	gemini	0589	OK	
0038	gemini	0604	OK	
0038	gemini	0699	결함	선분 AC가 빠졌다
0038	gemini	0856	OK	
0038	gemini	0917	OK	
0039	antigravity	0252	OK	
0039	antigravity	0418	OK	
0039	antigravity	0731	OK	
0039	antigravity	1057	OK	
0039	antigravity	1155	OK	
0039	antigravity	1333	OK	
0039	codex-1	0252	OK	
0039	codex-1	0418	OK	
0039	codex-1	0731	OK	
0039	codex-1	1057	OK	
0039	codex-1	1155	OK	
0039	codex-1	1333	OK	
0039	gemini	0252	결함	표 첫 행의 배경 칠이 빠졌다
0039	gemini	0418	OK	
0039	gemini	0731	OK	
0039	gemini	1057	OK	
0039	gemini	1155	OK	
0039	gemini	1333	OK	
0040	antigravity	0065	OK	
0040	antigravity	0108	OK	
0040	antigravity	0203	OK	
0040	antigravity	1112	OK	
0040	antigravity	1345	OK	
0040	antigravity	1493	OK	
0040	codex-1	0065	OK	
0040	codex-1	0108	OK	
0040	codex-1	0203	OK	
0040	codex-1	1112	OK	
0040	codex-1	1345	OK	
0040	codex-1	1493	OK	
0040	gemini	0065	OK	
0040	gemini	0108	OK	
0040	gemini	0203	OK	
0040	gemini	1112	OK	
0040	gemini	1345	OK	
0040	gemini	1493	OK	
0041	antigravity	0438	OK	
0041	antigravity	0452	OK	
0041	antigravity	1153	OK	
0041	antigravity	1203	OK	
0041	antigravity	1279	OK	
0041	antigravity	1504	OK	
0041	codex-1	0438	OK	
0041	codex-1	0452	OK	
0041	codex-1	1153	OK	
0041	codex-1	1203	OK	
0041	codex-1	1279	OK	
0041	codex-1	1504	OK	
0041	gemini	0438	OK	
0041	gemini	0452	결함	왼쪽 위 화단의 보라색 꽃이 주황색 꽃으로 바뀜
0041	gemini	1153	OK	
0041	gemini	1203	OK	
0041	gemini	1279	OK	
0041	gemini	1504	OK	
0042	antigravity	0416	OK	
0042	antigravity	0467	OK	
0042	antigravity	0518	OK	
0042	antigravity	0596	OK	
0042	antigravity	0634	OK	
0042	antigravity	1254	OK	
0042	codex-1	0416	OK	
0042	codex-1	0467	OK	
0042	codex-1	0518	OK	
0042	codex-1	0596	OK	
0042	codex-1	0634	OK	
0042	codex-1	1254	OK	
0042	gemini	0416	결함	'도수' 칸의 왼쪽, 오른쪽, 아래쪽 테두리 선이 빠졌다.
0042	gemini	0467	결함	표의 왼쪽 위 빈칸을 가로지르는 대각선이 빠졌다.
0042	gemini	0518	결함	36 cm²를 가리키는 곡선 화살표의 머리가 빠졌다.
0042	gemini	0596	OK	
0042	gemini	0634	OK	
0042	gemini	1254	OK	
0043	antigravity	0151	OK	
0043	antigravity	0498	OK	
0043	antigravity	0677	OK	
0043	antigravity	0864	OK	
0043	antigravity	0884	OK	
0043	antigravity	1146	OK	
0043	codex-1	0151	OK	
0043	codex-1	0498	OK	
0043	codex-1	0677	OK	
0043	codex-1	0864	OK	
0043	codex-1	0884	OK	
0043	codex-1	1146	OK	
0043	gemini	0151	OK	
0043	gemini	0498	결함	9cm를 나타내는 점선 양끝의 화살표 머리가 빠졌다
0043	gemini	0677	OK	
0043	gemini	0864	결함	22도를 가리키는 화살표 머리가 빠졌다
0043	gemini	0884	OK	
0043	gemini	1146	OK	
0044	antigravity	0206	OK	
0044	antigravity	0643	OK	
0044	antigravity	0772	OK	
0044	antigravity	0955	OK	
0044	antigravity	0974	OK	
0044	antigravity	1492	OK	
0044	codex-1	0206	OK	
0044	codex-1	0643	OK	
0044	codex-1	0772	OK	
0044	codex-1	0955	OK	
0044	codex-1	0974	OK	
0044	codex-1	1492	OK	
0044	gemini	0206	OK	
0044	gemini	0643	OK	
0044	gemini	0772	OK	
0044	gemini	0955	OK	
0044	gemini	0974	OK	
0044	gemini	1492	OK	
0045	antigravity	0130	OK	
0045	antigravity	0317	OK	
0045	antigravity	0454	OK	
0045	antigravity	0468	OK	
0045	antigravity	1227	OK	
0045	antigravity	1236	OK	
0045	codex-1	0130	OK	
0045	codex-1	0317	OK	
0045	codex-1	0454	OK	
0045	codex-1	0468	OK	
0045	codex-1	1227	OK	
0045	codex-1	1236	OK	
0045	gemini	0130	OK	
